Sample_ID,ACR_Class,ANXA5,AP1M1,C1GALT1C1,CLK1,EFTUD2,MAP1A,SENP6,SENP7,TSC22D1,SPCS3,ZMAT1,ETAA1,ZNF493,CCDC82,NFYB,F13A1,TUBB1,Set_Type,probability,numbers
R.3117.17,0,13.85072,12.057502,10.988824,13.735004,10.837033,7.202355,11.191132,11.822441,10.481428,11.653901,7.953328,9.087183,10.971508,10.499141,9.535383,11.914365,13.695901,0,0.280027053,74
R.711.21.R,1,13.325015,12.278085,9.887997,12.684777,11.301234,7.89875,10.466951,11.184518,10.59589,11.466951,6.940978,7.940978,10.324018,8.562466,8.153428,10.911195,12.902539,0,0.28175696,75
R.2937.8.R,1,13.215866,12.829377,10.434303,12.363456,10.759683,8.138569,10.606598,11.335965,9.696659,11.382023,7.75806,7.796534,10.359178,8.56727,7.541073,12.174924,13.652659,0,0.289110875,76
R.4300.7,0,13.405663,12.840361,11.794162,14.432882,10.363999,6.906998,11.697075,12.455891,9.659905,12.582563,9.094625,9.446732,12.466127,11.060503,9.803162,10.649963,12.812998,0,0.291079334,77
R.1417.9.20A1,0,13.503658,12.109383,10.318168,12.99155,11.256333,6.715132,10.263643,11.713601,10.592668,11.436148,8.411803,8.313713,10.213017,9.301856,8.767021,11.537605,13.796147,0,0.303064884,78
R.5197.15.20A1,0,13.809617,12.026094,11.290841,13.379007,10.419247,7.709187,11.037179,11.606773,10.482445,11.257237,8.915007,8.576681,10.713646,9.81233,8.659418,11.589992,14.148881,0,0.305638903,79
R.2498.7,0,13.881897,12.363438,11.157128,13.324939,10.878377,7.063314,10.975006,11.727228,10.898733,11.479479,8.469307,8.455632,11.326349,9.730071,8.828849,11.991685,13.768947,0,0.314204424,80
R.3217.30.20A1,0,13.041928,11.999513,10.492216,13.113758,10.981027,6.355618,10.333169,11.787841,10.125329,11.399824,8.691135,8.054026,9.896236,9.815006,9.200695,11.768289,13.203429,0,0.318927154,81
R.1717.6,1,13.77509,12.006378,10.92686,13.391966,11.361862,6.893626,10.69022,11.403358,9.923337,11.33121,7.486257,8.065061,10.056885,10.365119,9.528165,11.180931,12.663185,0,0.323831183,82
R.3037.13.20A1,0,13.638573,12.623018,10.585597,12.700943,11.433491,8.33186,9.858303,11.290898,10.399191,11.383578,7.788222,6.63832,10.276938,8.681359,7.680204,12.868561,14.539309,0,0.325891871,83
R.1237.6.20A1,0,13.278095,11.878129,10.350903,13.314656,11.293522,6.932268,10.408443,11.678738,11.136276,11.603546,8.437307,8.253424,10.347573,9.710365,8.773351,12.24128,13.78192,0,0.335583494,84
